pl_name,discoverymethod,pl_controv_flag,pl_orbsmax,pl_msinie,pl_dens,pl_orbeccen,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens
BD-06 1339 b,Radial Velocity,0,0.042800,8.50000,,0.000000,4324.00,,0.70,-0.140,-1.022,4.74,4.400,
BD-06 1339 c,Radial Velocity,0,0.435000,53.00000,,0.310000,4324.00,,0.70,-0.140,-1.022,4.74,4.400,
BD-08 2823 b,Radial Velocity,0,0.056000,14.40000,,0.150000,4746.00,,0.74,-0.070,,4.13,4.500,
BD-08 2823 b,Radial Velocity,0,0.060000,12.71320,,0.150000,4816.00,0.71,0.50,-0.060,,4.43,,
BD-08 2823 c,Radial Velocity,0,0.680000,104.00000,,0.190000,4746.00,,0.74,-0.070,,4.13,4.500,
BD-10 3166 b,Radial Velocity,0,0.040000,187.51970,,0.020000,5393.00,0.91,1.47,0.380,,4.69,,
BD-10 3166 b,Radial Velocity,0,0.046000,152.55000,,0.050000,5400.00,,1.10,0.500,,4.40,,
BD-10 3166 b,Radial Velocity,0,0.045000,142.70495,,0.022000,5382.64,0.97,1.00,0.370,,4.46,,
BD-10 3166 b,Radial Velocity,0,0.045200,145.56000,,0.019000,5393.00,,1.01,0.382,,4.68,,
BD-11 4672 b,Radial Velocity,0,2.360000,206.58950,,0.050000,4550.00,0.64,0.65,-0.350,-0.804,4.64,7.400,3.5300
BD-11 4672 b,Radial Velocity,0,2.280000,168.44000,,0.050000,4475.00,0.52,0.57,-0.480,,4.10,4.400,
BD-11 4672 c,Radial Velocity,0,0.300000,15.37000,,0.400000,4550.00,0.64,0.65,-0.350,-0.804,4.64,7.400,3.5300
BD-13 2130 b,Radial Velocity,0,2.100000,3368.99800,,0.210000,,,2.40,,,,0.740,
BD-13 2130 b,Radial Velocity,0,1.660000,3108.37740,,0.210000,4545.00,19.17,2.12,-0.080,,2.20,,
BD-17 63 b,Radial Velocity,0,1.340000,1620.90000,,0.540000,4714.00,0.69,0.74,-0.030,-0.678,4.26,4.300,
BD-17 63 b,Radial Velocity,0,1.340000,905.81550,,0.540000,4665.00,0.74,0.31,0.010,,4.19,,
CD Cet b,Radial Velocity,0,0.018500,3.95000,,,3130.00,0.17,0.16,0.130,-2.533,4.93,3.000,
CFBDSIR J145829+101343 b,Imaging,0,2.600000,,,,580.50,,0.02,,,4.72,,
CFHTWIR-Oph 98 b,Imaging,0,200.000000,,,,2320.00,0.24,0.01,,-2.850,3.85,0.003,
CHXR 73 b,Imaging,0,210.000000,,,,,,0.35,,,,0.002,
CI Tau b,Radial Velocity,0,,,,0.250000,,,0.90,,-0.108,,0.003,
COCONUTS-2 b,Imaging,0,7506.000000,,,,3406.00,0.39,0.37,0.000,-1.732,4.83,0.475,
CT Cha b,Imaging,0,440.000000,,,,,,,,,,0.002,
CoRoT-1 b,Transit,0,0.026100,,,0.000000,5950.00,1.14,1.03,,,,,
CoRoT-1 b,Transit,0,,,0.38000,0.000000,5950.00,1.11,0.95,-0.300,,4.25,,
CoRoT-1 b,Transit,0,0.025360,,0.34400,,5950.00,1.13,0.95,-0.300,,4.31,7.800,0.9300
CoRoT-1 b,Transit,0,0.027520,,0.30200,0.036000,6298.00,1.23,1.22,0.060,,,1.600,
CoRoT-1 b,Transit,0,0.025900,,0.44000,0.071000,5950.00,,,-0.300,,4.25,,
CoRoT-10 b,Transit,0,0.105500,,3.69000,0.524000,5075.00,0.79,0.89,0.260,,,3.000,
CoRoT-10 b,Transit,0,0.105500,,3.70000,0.530000,5075.00,0.79,0.89,0.260,,4.65,3.000,3.3200
CoRoT-10 b,Transit,0,0.106000,,4.16000,,5075.00,0.74,0.90,0.260,,4.65,0.100,3.1000
CoRoT-11 b,Transit,0,,,,,6343.00,1.36,1.56,0.040,,4.27,,0.5810
CoRoT-11 b,Transit,0,0.044000,,1.00000,,6440.00,1.37,1.26,-0.030,,4.26,2.000,0.6870
CoRoT-11 b,Transit,0,0.044070,,1.11000,0.360000,6440.00,1.37,1.27,0.030,,,2.000,
CoRoT-11 b,Transit,0,0.043510,,0.93000,0.000000,,1.33,1.23,,,,2.000,0.7400
CoRoT-11 b,Transit,0,0.043600,,0.99000,0.000000,6440.00,1.37,1.27,-0.030,,4.22,2.000,0.6900
CoRoT-12 b,Transit,0,0.040160,,0.41100,0.070000,5675.00,1.12,1.08,0.160,,4.38,6.300,1.0800
CoRoT-12 b,Transit,0,0.040130,,0.38100,0.050000,5675.00,1.12,1.08,0.160,,,6.300,
CoRoT-12 b,Transit,0,0.039400,,0.44800,,5675.00,1.05,1.02,0.160,,4.41,5.800,1.2500
CoRoT-12 b,Transit,0,0.039200,,0.44700,,,1.05,1.00,,0.070,4.38,6.170,1.2200
CoRoT-13 b,Transit,0,0.051070,,2.38000,0.067000,5945.00,1.01,1.09,0.010,,,1.600,
CoRoT-13 b,Transit,0,0.051000,,2.34000,0.000000,5945.00,1.01,1.09,0.010,,4.46,1.635,1.4680
CoRoT-13 b,Transit,0,0.051000,,0.82000,,5945.00,1.27,1.09,0.010,,4.26,5.800,0.7410
CoRoT-14 b,Transit,0,0.027000,,7.30000,0.000000,6035.00,1.21,1.13,0.050,,4.35,4.200,0.9100
CoRoT-14 b,Transit,0,0.026870,,9.00000,,6035.00,1.19,1.12,0.050,,4.34,3.700,0.9400
CoRoT-14 b,Transit,0,0.026910,,7.10000,0.036000,6040.00,1.21,1.13,0.050,,,4.200,
CoRoT-16 b,Transit,0,0.061800,,0.41000,0.370000,5650.00,1.19,1.10,0.190,,,6.700,
CoRoT-16 b,Transit,0,0.061800,,0.44000,0.330000,5650.00,1.19,1.10,0.190,,4.36,6.730,0.9300
CoRoT-17 b,Transit,0,0.048100,,3.00580,,5740.00,1.62,1.04,0.000,,4.04,8.000,0.3420
CoRoT-17 b,Transit,0,0.048100,,2.81000,0.081000,5740.00,1.59,1.04,0.000,,,10.700,
CoRoT-17 b,Transit,0,0.046100,,2.82000,0.000000,5740.00,1.59,1.04,0.000,,4.40,10.700,0.3200
CoRoT-18 b,Transit,0,0.028800,,2.73000,,,0.88,0.88,,-0.170,4.49,0.032,1.8000
CoRoT-18 b,Transit,0,0.029500,,1.91000,0.025000,5440.00,1.00,0.95,0.100,,,0.600,
CoRoT-18 b,Transit,0,0.028600,,2.07000,,5440.00,0.92,0.86,-0.100,,4.44,,1.5400
CoRoT-18 b,Transit,0,0.029500,,2.20000,0.080000,5440.00,1.00,0.95,-0.100,,4.40,,1.3500
CoRoT-19 b,Transit,0,0.051660,,0.66800,0.056000,6090.00,1.65,1.21,0.020,,,5.000,
CoRoT-19 b,Transit,0,0.051800,,0.71000,0.047000,6090.00,1.65,1.21,-0.020,0.544,4.07,5.000,0.3800
CoRoT-19 b,Transit,0,0.051200,,0.79800,,6090.00,1.58,1.18,-0.020,,4.12,4.900,0.4250
CoRoT-2 b,Transit,0,,,,,5575.00,,,-0.040,,,,1.9580
CoRoT-2 b,Transit,0,,,1.55300,0.000000,5625.00,0.90,0.97,0.000,,4.30,,
CoRoT-2 b,Transit,0,,,,,5529.00,0.94,0.97,-0.040,-0.131,4.48,,1.6618
CoRoT-2 b,Transit,0,0.028540,,1.41800,,5696.00,0.91,1.02,0.030,,4.53,0.600,1.9190
CoRoT-2 b,Transit,0,0.028100,,1.30000,0.024000,5625.00,0.90,0.97,0.000,,,2.700,
CoRoT-2 b,Transit,0,0.028350,,1.42700,,5598.00,0.90,1.00,0.040,,4.53,1.200,1.9190
CoRoT-2 b,Transit,0,0.028100,,,0.000000,,,,,,,,
CoRoT-2 b,Transit,0,0.027980,,1.47000,0.014300,5625.00,0.91,0.96,,,,2.700,1.8140
CoRoT-20 b,Transit,0,0.089100,,5.20000,,,1.16,1.10,,0.170,4.35,4.000,1.0000
CoRoT-20 b,Transit,0,0.090200,,8.87000,0.562000,5880.00,1.02,1.14,0.140,,4.20,0.100,1.5100
CoRoT-20 b,Transit,0,0.090000,,,0.590000,,,1.14,,,,,
CoRoT-20 b,Transit,0,0.089200,,4.00000,,5880.00,1.34,1.11,0.140,,4.23,5.900,0.6500
CoRoT-20 b,Transit,0,0.090100,,8.90000,0.575000,5880.00,1.02,1.14,0.140,,,0.100,
CoRoT-20 c,Radial Velocity,0,2.900000,5403.11000,,0.600000,,,1.14,,,,,
CoRoT-21 b,Transit,0,0.041700,,1.36000,0.000000,6200.00,1.95,1.29,0.000,,3.70,4.100,0.2550
CoRoT-21 b,Transit,0,0.041600,,1.24000,0.390000,6200.00,1.95,1.29,0.000,,,4.100,
CoRoT-22 b,Transit,0,0.092000,,0.24900,0.077000,5939.00,1.14,1.10,0.170,,4.36,3.300,1.0270
CoRoT-23 b,Transit,0,0.048090,,2.32750,,5900.00,1.74,1.12,0.050,,4.01,5.400,0.3010
CoRoT-23 b,Transit,0,0.048400,,3.30000,0.160000,5900.00,1.61,1.14,0.050,,,7.200,
CoRoT-23 b,Transit,0,0.048000,,3.00000,0.160000,5900.00,1.61,1.14,0.050,,4.30,7.200,0.5000
CoRoT-24 b,Transit,0,0.056000,,0.90000,0.000000,4950.00,0.86,0.91,0.300,,4.55,11.000,
CoRoT-24 c,Transit,0,0.098000,,1.30000,0.000000,4950.00,0.86,0.91,0.300,,4.55,11.000,
CoRoT-25 b,Transit,0,0.057890,,0.24000,0.220000,6040.00,1.19,1.09,0.010,,,4.500,
