rowid,plntname,centralwavelng,bandwidth,especlipdep,especlipdeperr1,especlipdeperr2,especlipdeplim,espbritemp,espbritemperr1,espbritemperr2,espbritemplim,plntreflink,facility,instrument
464,WASP-18 b,8.0000,,0.410000,0.020000,-0.020000,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
465,WASP-18 b,1.1270,0.0180,0.081800,0.002800,-0.002800,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
466,WASP-18 b,1.1450,0.0190,0.084700,0.002600,-0.002600,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
467,WASP-18 b,1.1640,0.0180,0.085800,0.002400,-0.002400,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
468,WASP-18 b,1.1830,0.0190,0.078400,0.002500,-0.002500,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
469,WASP-18 b,1.2020,0.0190,0.094400,0.002600,-0.002600,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
470,WASP-18 b,1.2200,0.0180,0.088500,0.002600,-0.002600,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
471,WASP-18 b,1.2390,0.0190,0.091300,0.002500,-0.002500,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
472,WASP-18 b,1.2570,0.0180,0.092700,0.002500,-0.002500,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
473,WASP-18 b,1.2760,0.0190,0.090000,0.002400,-0.002400,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
474,WASP-18 b,1.2940,0.0190,0.091900,0.002500,-0.002500,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
475,WASP-18 b,1.3130,0.0180,0.095700,0.002400,-0.002400,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
476,WASP-18 b,1.3320,0.0190,0.096100,0.002300,-0.002300,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
477,WASP-18 b,1.3500,0.0180,0.102200,0.002500,-0.002500,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
478,WASP-18 b,1.3690,0.0190,0.102900,0.002900,-0.002900,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
479,WASP-18 b,1.3870,0.0180,0.106600,0.002600,-0.002600,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
480,WASP-18 b,1.4050,0.0190,0.109700,0.002500,-0.002500,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
481,WASP-18 b,1.4250,0.0190,0.114500,0.002500,-0.002500,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
482,WASP-18 b,1.4430,0.0180,0.110500,0.002500,-0.002500,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
483,WASP-18 b,1.4620,0.0190,0.110700,0.002500,-0.002500,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
484,WASP-18 b,1.4800,0.0180,0.108800,0.002400,-0.002400,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
485,WASP-18 b,1.4980,0.0190,0.115500,0.002800,-0.002800,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
486,WASP-18 b,1.5180,0.0190,0.115900,0.002800,-0.002800,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
487,WASP-18 b,1.5360,0.0180,0.116200,0.002800,-0.002800,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
488,WASP-18 b,1.5540,0.0190,0.107700,0.003000,-0.003000,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
489,WASP-18 b,1.5730,0.0180,0.113900,0.003000,-0.003000,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
490,WASP-18 b,1.5910,0.0190,0.113000,0.002800,-0.002800,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
491,WASP-18 b,1.6110,0.0190,0.104500,0.003400,-0.003400,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
492,WASP-18 b,1.6290,0.0180,0.101900,0.003100,-0.003100,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
493,WASP-18 b,1.6470,0.0190,0.101400,0.003800,-0.003800,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
494,WASP-18 b,2.1500,,0.130000,0.300000,-0.300000,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Anglo Australian Telescope,IRIS2
